season,player_name,event_type,event_source,event_date,team_name,salary,contract_year,contract_status,contract_info,inferred_contract_info,contract_length,tcv,aav,position_filter,player_id,nfl_team,event_seq,event_time,franchise_id,event_detail,snapshot_week,snapshot_source,year_values_json,extension_flag,restructure_flag,mym_flag,post_add_multi_year_flag,post_add_multi_year_reason,generated_at_utc
2017,,DROP,FREE_AGENT,2017-03-06,Blake Bombers,0,0,,,,0,0,0,TE,9189,,1,08:16:29,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-11,Good in Da Hood,0,0,,,,0,0,0,TE,10743,,1,18:07:27,0006,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-03-26,Sex Manther,0,0,,,,0,0,0,TE,11647,,1,23:19:38,0007,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-04-03,Gride,0,0,,,,0,0,0,TE,9933,,1,09:41:16,0003,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-05-03,C'mon Son,0,0,,,,0,0,0,TE,9611,,1,10:11:02,0005,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-21,C'mon Son,0,0,,,,0,0,0,TE,9044,,1,12:56:07,0005,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-25,Blake Bombers,0,0,,,,0,0,0,TE,10742,,1,20:41:01,0010,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-28,Pure Greatness,0,0,,,,0,0,0,TE,12263,,1,18:26:02,0004,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-30,Gordon Is The New Blackmon,0,0,,,,0,0,0,TE,12874,,1,11:43:14,0008,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-07-31,C'mon Son,0,0,,,,0,0,0,TE,11257,,1,21:20:08,0005,,1,preseason,{},0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-04,C'mon Son,22000,1,ADD_DEFAULT_1YR,,CL 1| TCV 22K| AAV 22K| Y1-22K| Default Add,1,22000,22000,TE,9044,,2,03:54:17,0005,bid=22000|default_1yr,1,preseason,"{""Y1"":22000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-08,Cleon Ca$h,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,TE,10742,,2,06:45:55,0011,bid=3000|default_1yr,1,preseason,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-12,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11249,,1,00:27:15,0010,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-12,Crystal Blue Persuasian,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,8247,,1,06:19:06,0002,bid=2000|default_1yr,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-12,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,10743,,2,10:01:29,0008,bid=4000|default_1yr,1,preseason,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,AUCTION:FreeAgent,2017-08-16,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,9611,,2,10:56:21,0003,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-08-23,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,7422,,1,09:00:04,0010,salary=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-03,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,7422,,2,15:10:24,0010,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-09-03,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,9611,,3,18:34:44,0003,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-09-06,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11257,,2,09:00:00,0010,salary=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-09-06,C'mon Son,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,TE,7422,,3,09:00:00,0005,salary=3000|default_1yr,1,preseason,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-09-13,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11257,,3,09:00:00,0010,,1,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-09-20,Ulterior Warrior,0,0,,,,0,0,0,TE,12792,,1,09:00:00,0001,,2,schedule,{},0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-09-27,Ulterior Warrior,6000,1,ADD_DEFAULT_1YR,,CL 1| TCV 6K| AAV 6K| Y1-6K| Default Add,1,6000,6000,TE,11399,,1,09:00:00,0001,salary=6000|default_1yr,3,schedule,"{""Y1"":6000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-10-04,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,12212,,1,09:00:00,0008,salary=4000|default_1yr,4,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-10-04,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,10743,,3,09:00:00,0008,,4,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-10-07,Ulterior Warrior,6000,1,ADD_DEFAULT_1YR,,CL 1| TCV 6K| AAV 6K| Y1-6K| Default Add,1,6000,6000,TE,11399,,2,09:00:00,0001,,5,schedule,"{""Y1"":6000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-10-11,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11249,,2,09:00:00,0010,,5,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-10-11,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,12212,,2,09:00:00,0008,,5,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-10-13,C'mon Son,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,TE,7422,,4,15:46:19,0005,,6,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-10-14,Cleon Ca$h,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,TE,10742,,3,09:00:00,0011,,6,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-10-25,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,12212,,3,09:00:00,0008,salary=4000|default_1yr,7,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-10-28,Cleon Ca$h,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,9611,,4,09:00:00,0011,salary=1000|default_1yr,8,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:FREE_AGENT,2017-10-29,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11399,,3,12:27:13,0005,salary=1000|default_1yr,8,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-11-01,Ulterior Warrior,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,7422,,5,09:00:00,0001,salary=4000|default_1yr,8,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-11-11,Ulterior Warrior,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11337,,1,09:00:00,0001,salary=1000|default_1yr,10,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,ADDDROP:BBID,2017-11-11,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,10743,,4,09:00:00,0005,salary=1000|default_1yr,10,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-11-11,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11399,,4,09:00:00,0005,,10,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,TRADE,2017-11-12,Ulterior Warrior,0,0,,,,0,0,0,TE,8247,,2,11:30:27,0001,trade2017_50,10,schedule,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-11-14,Good in Da Hood,1000,1,STANDARD,,CL 1| TCV 1K| AAV 1K,1,1000,1000,TE,11698,,1,12:20:12,0006,,10,schedule,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-11-15,Ulterior Warrior,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11337,,2,09:00:00,0001,,10,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-11-17,Cleon Ca$h,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,9611,,5,06:50:13,0011,,11,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,ACQUIRE,TRADE,2017-11-23,Good in Da Hood,0,0,,,,0,0,0,TE,8247,,3,11:27:40,0006,trade2017_65,12,schedule,{},0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-11-25,Ulterior Warrior,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,7422,,6,09:00:00,0001,,12,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:FREE_AGENT,2017-12-03,C'mon Son,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,10743,,5,15:48:27,0005,,13,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-12-20,Good in Da Hood,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,8247,,4,09:00:00,0006,,15,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:49
2017,,DROP,ADDDROP:BBID,2017-12-23,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,12212,,4,09:00:00,0008,,16,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:49
2018,,ACQUIRE,AUCTION:FreeAgent,2018-08-13,Sex Manther,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,11381,,1,08:49:02,0007,bid=2000|default_1yr,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,AUCTION:FreeAgent,2018-08-14,Ulterior Warrior,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,13722,,1,00:29:59,0001,bid=2000|default_1yr,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,AUCTION:FreeAgent,2018-08-14,White Power,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12378,,1,22:44:55,0012,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,AUCTION:FreeAgent,2018-08-17,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12212,,1,08:27:45,0003,bid=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:FREE_AGENT,2018-08-20,White Power,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12378,,2,22:15:51,0012,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-08-25,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,13391,,1,09:00:00,0010,salary=1000|default_1yr,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:FREE_AGENT,2018-08-25,Sex Manther,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,11381,,2,23:12:26,0007,,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:FREE_AGENT,2018-08-31,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12212,,2,07:55:31,0003,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:FREE_AGENT,2018-09-02,Ulterior Warrior,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,13722,,2,18:19:54,0001,,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,FREE_AGENT,2018-09-02,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,13391,,2,21:21:42,0010,,1,preseason,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-09-19,Blake Bombers,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,13763,,1,09:00:00,0010,salary=2000|default_1yr,2,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-09-22,Blake Bombers,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,13671,,1,09:00:00,0010,salary=2000|default_1yr,3,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:FREE_AGENT,2018-09-26,Blake Bombers,1000,3,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,3,3000,1000,TE,13763,,2,09:03:51,0010,,3,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-10-03,C-Town Chivalry,3000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,3000,3000,TE,12317,,1,09:00:00,0009,salary=3000|default_1yr,4,schedule,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-10-04,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12378,,3,09:00:00,0010,salary=1000|default_1yr,5,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-10-10,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,10394,,1,09:00:00,0010,salary=1000|default_1yr,5,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:BBID,2018-10-10,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,1000,1000,TE,13671,,2,09:00:00,0010,,5,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:BBID,2018-10-11,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12378,,4,09:00:00,0010,,6,schedule|prior_for_drop,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-10-13,Ulterior Warrior,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,13763,,3,09:00:00,0001,salary=1000|default_1yr,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:FREE_AGENT,2018-10-14,Pure Greatness,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11007,,1,12:47:28,0004,salary=1000|default_1yr,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:BBID,2018-10-17,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,10394,,2,09:00:00,0010,,6,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-10-21,Ulterior Warrior,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,12378,,5,09:00:00,0001,salary=4000|default_1yr,7,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:BBID,2018-10-25,Pure Greatness,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11007,,2,09:00:00,0004,,8,schedule|prior_for_drop,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:FREE_AGENT,2018-10-28,Ulterior Warrior,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,1000,1000,TE,12378,,6,01:38:19,0001,,8,schedule|prior_for_drop,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-11-07,Pure Greatness,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12208,,1,09:00:00,0004,salary=1000|default_1yr,9,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:BBID,2018-11-08,C-Town Chivalry,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 3K| AAV 3K| Y1-3K| Default Add,1,4000,4000,TE,12317,,2,09:00:00,0009,,10,schedule|prior_for_drop,"{""Y1"":3000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-11-11,Blake Bombers,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,13671,,3,09:00:00,0010,salary=1000|default_1yr,10,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,TRADE,2018-11-20,Blake Bombers,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K,1,1000,1000,TE,12208,,2,15:20:40,0010,trade2018_68,11,schedule,{},0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,TRADE,2018-11-20,Pure Greatness,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K,1,1000,1000,TE,13671,,4,15:20:40,0004,trade2018_68,11,schedule,{},0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,TRADE,2018-11-21,Cleon Ca$h,1000,3,Rookie,,CL 3| TCV 3K| AAV 1K,3,3000,1000,TE,13763,,4,14:57:04,0011,trade2018_72,11,schedule,{},0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,FREE_AGENT,2018-11-27,Blake Bombers,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K,1,1000,1000,TE,12208,,3,08:44:26,0010,,12,schedule,{},0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-11-29,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12596,,1,09:00:00,0007,salary=1000|default_1yr,13,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-11-29,Gordon Is The New Blackmon,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12317,,3,09:00:00,0008,salary=1000|default_1yr,13,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:BBID,2018-12-05,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,4000,4000,TE,12317,,4,09:00:00,0008,,13,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,DROP,ADDDROP:BBID,2018-12-12,Sex Manther,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,12596,,2,09:00:00,0007,,14,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-12-12,Gordon Is The New Blackmon,4000,1,ADD_DEFAULT_1YR,,CL 1| TCV 4K| AAV 4K| Y1-4K| Default Add,1,4000,4000,TE,12317,,5,09:00:00,0008,salary=4000|default_1yr,14,schedule,"{""Y1"":4000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-12-13,Gride,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,13819,,1,09:00:00,0003,salary=1000|default_1yr,15,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:FREE_AGENT,2018-12-16,White Power,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,13919,,1,10:32:56,0012,salary=1000|default_1yr,15,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2018,,ACQUIRE,ADDDROP:BBID,2018-12-23,White Power,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,13880,,1,09:00:00,0012,salary=1000|default_1yr,16,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:51
2019,,ACQUIRE,AUCTION:FreeAgent,2019-08-22,Sex Manther,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,12596,,1,17:31:09,0007,bid=2000|default_1yr,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:56
2019,,DROP,ADDDROP:FREE_AGENT,2019-09-01,Sex Manther,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,12596,,2,22:45:12,0007,,1,preseason,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:56
2019,,ACQUIRE,ADDDROP:BBID,2019-09-14,C-Town Chivalry,2000,1,ADD_DEFAULT_1YR,,CL 1| TCV 2K| AAV 2K| Y1-2K| Default Add,1,2000,2000,TE,12678,,1,09:00:00,0009,salary=2000|default_1yr,2,schedule,"{""Y1"":2000}",0,0,0,0,,2026-04-21 22:08:56
2019,,ACQUIRE,ADDDROP:BBID,2019-09-19,#BLM,1000,1,ADD_DEFAULT_1YR,,CL 1| TCV 1K| AAV 1K| Y1-1K| Default Add,1,1000,1000,TE,11448,,1,09:00:00,0008,salary=1000|default_1yr,3,schedule,"{""Y1"":1000}",0,0,0,0,,2026-04-21 22:08:56
