season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2018,PN,7911,"Colquitt, Dustin",PN,KCC,1,2018-09-01,2018-09-06,2018-12-24,16,0009,C-Town Chivalry,ROSTER,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,1,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2018-12-24,0,tcv_div_cl,0,,2017,16,0001,Ulterior Warrior,ROSTER,1000,1,STANDARD,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,1,dropped_then_waiver_readd,2018-09-01,BBID_WAIVER,dropped_then_waiver_readd | last_add=2018-09-01 BBID_WAIVER,0,0,0,0,,0,1,0.0,0,0,0,0,0,0,,0,,0,,,,,1,2018-09-01,C-Town Chivalry,BBID,BBID_WAIVER,1000,0,,,0,legacy,2026-04-21 22:10:04
2019,PN,13844,"Cooke, Logan",PN,JAC,1,2019-09-01,2019-09-05,2019-12-23,16,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2019-12-23,0,,0,,2018,16,0012,White Power,ROSTER,1000,1,Veteran,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,0,fa_auction,2019-08-22,AUCTION:FreeAgent,fa_auction | last_drop=2019-03-08 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2019-08-22,1,2019-03-08,Hawks,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:10:08
2020,PN,13844,"Cooke, Logan",PN,JAC,1,2020-09-01,2020-09-10,2020-12-28,16,0012,Hawks,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2020-12-28,0,tcv_div_cl,0,,2019,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2020-08-21,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2020-08-21,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:14
2022,PN,13844,"Cooke, Logan",PN,JAC,1,2022-09-01,2022-09-08,2023-01-02,17,0001,Ulterior Warrior,ROSTER,1000,1,WW,CL 1,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,0012,Hawks,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2022-08-04,AUCTION:FreeAgent,fa_auction | last_drop=2022-02-23 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2022-08-04,1,2022-02-23,Hawks,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:10:27
2024,PN,13844,"Cooke, Logan",PN,JAC,1,2024-09-01,2024-09-05,2024-12-30,17,0010,Blake Bombers,ROSTER,2000,1,WW,CL 1|,CL 1| TCV 2K| AAV 2K| Y1-2K,0,0,0,0,0,,1,0,0,2000,0,0,0,1,2000,2000,{},0,0,1,2000,0,2000,2000,2000,0,2024-12-30,0,tcv_div_cl,0,,2023,23,0001,Ulterior Warrior,ROSTER,1000,1,WW,,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2024-08-02,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2024-08-02,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:35
2025,PN,13844,"Cooke, Logan",PN,JAC,1,2025-08-31,2025-09-04,2025-12-29,17,0004,Pure Greatness,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,0010,Blake Bombers,ROSTER,2000,1,WW,CL 1|,1,2000,2000,{},0,0,tcv_div_cl,0,0,0,0,0,waiver_contract_add,2025-08-21,BBID_WAIVER,waiver_contract_add | last_add=2025-08-21 BBID_WAIVER,0,0,0,0,,0,1,0.0,0,0,0,0,0,0,,0,,0,,,,,1,2025-08-21,Pure Greatness,BBID,BBID_WAIVER,1000,0,,,0,current,2026-04-21 22:10:38
2025,PN,17241,"Crawshaw, Jeremy",PN,DEN,1,2025-08-31,2025-09-04,2025-12-29,17,0010,Blake Bombers,ROSTER,3000,1,WW,CL 1|,CL 1| TCV 3K| AAV 3K| Y1-3K,0,0,0,0,0,,1,0,0,3000,0,0,0,1,3000,3000,{},0,0,1,3000,0,3000,3000,3000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2025-08-06,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2025-08-06,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:38
2019,PN,13908,"Daniel, Trevor",PN,DEN,1,2019-09-01,2019-09-05,2019-12-23,16,0012,Hawks,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2019-08-23,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2019-08-23,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:08
2018,PN,13782,"Dickson, Michael",PN,SEA,1,2018-09-01,2018-09-06,2018-12-24,16,0007,Sex Manther,ROSTER,4000,3,Rookie,,"CL 3| TCV 12K| AAV 4K| Y1-4K, Y2-4K, Y3-4K",0,0,0,0,0,,3,0,1,12000,0,0,0,3,12000,4000,{},0,0,1,4000,0,4000,4000,4000,8000,2018-12-24,0,tcv_div_cl,0,,2017,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,fa_auction,2018-08-09,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,4000,2018-08-09,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:04
2019,PN,13782,"Dickson, Michael",PN,SEA,1,2019-09-01,2019-09-05,2019-12-23,16,0007,Sex Manther,ROSTER,4000,2,Rookie GF,,"CL 2| TCV 8K| AAV 4K| Y1-4K, Y2-4K",0,0,0,0,0,,2,1,1,8000,0,0,0,2,8000,4000,{},0,0,1,4000,0,4000,4000,4000,4000,2019-12-23,0,tcv_div_cl,0,,2018,16,0007,Sex Manther,ROSTER,4000,3,Rookie,,3,12000,4000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2019-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:08
2020,PN,13782,"Dickson, Michael",PN,SEA,1,2020-09-01,2020-09-10,2020-12-28,16,0007,Sex Manther,ROSTER,4000,1,Rookie GF,TCV 15K,CL 1| TCV 15K| AAV 15K| Y1-4K,0,0,0,0,0,,1,1,1,15000,0,0,0,1,15000,15000,{},0,0,1,4000,0,4000,4000,4000,11000,2020-12-28,0,tcv_div_cl,0,,2019,16,0007,Sex Manther,ROSTER,4000,2,Rookie GF,,2,8000,4000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2020-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:14
2021,PN,13782,"Dickson, Michael",PN,SEA,1,2021-09-01,2021-09-09,2022-01-03,17,0006,Good in Da Hood,ROSTER,2000,1,Veteran,CL 1|,CL 1| TCV 2K| AAV 2K| Y1-2K,0,0,0,0,0,,1,0,0,2000,0,0,0,1,2000,2000,{},0,0,1,2000,0,2000,2000,2000,0,2022-01-03,0,tcv_div_cl,0,,2020,22,0007,Sex Manther,ROSTER,4000,1,Rookie GF,TCV 15K,1,15000,15000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2021-08-01,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2021-08-01,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:21
2022,PN,13782,"Dickson, Michael",PN,SEA,1,2022-09-01,2022-09-08,2023-01-02,17,0007,Sex Manther,ROSTER,3000,3,Veteran,CL 3| TCV 9K| AAV 3K,"CL 3| TCV 9K| AAV 3K| Y1-3K, Y2-3K, Y3-3K",0,0,0,0,0,,3,0,0,9000,0,0,0,3,9000,3000,{},0,0,1,3000,0,3000,3000,3000,6000,2023-01-02,0,aav_token_1,0,,2021,23,0006,Good in Da Hood,ROSTER,2000,1,Veteran,CL 1|,1,2000,2000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2022-07-31,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,3000,2022-07-31,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:27
2023,PN,13782,"Dickson, Michael",PN,SEA,1,2023-09-01,2023-09-07,2023-12-31,17,0007,Sex Manther,ROSTER,3000,1,WW,,CL 1| TCV 3K| AAV 3K| Y1-3K,0,0,0,0,0,,1,0,0,3000,0,0,0,1,3000,3000,{},0,0,1,3000,0,3000,3000,3000,0,2023-12-31,0,tcv_div_cl,0,,2022,23,0007,Sex Manther,ROSTER,3000,3,Veteran,CL 3| TCV 9K| AAV 3K,3,9000,3000,{},0,0,aav_token_1,0,1,1,0,0,week1_not_under_contract,,,week1_not_under_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:32
2025,PN,13782,"Dickson, Michael",PN,SEA,1,2025-08-31,2025-09-04,2025-12-29,17,0005,HammerTime 🔨 ⏰,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2025-08-06,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2025-08-06,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:38
2021,PN,12842,"Dixon, Riley",PN,NYG,1,2021-09-01,2021-09-09,2022-01-03,17,0005,Run CMC,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2022-01-03,0,tcv_div_cl,0,,2020,22,0001,Ulterior Warrior,ROSTER,1000,1,WW,,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2021-08-02,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2021-08-02,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:21
2022,PN,12842,"Dixon, Riley",PN,NYG,1,2022-09-01,2022-09-08,2023-01-02,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-01-02,0,,0,,2021,23,0005,Run CMC,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:27
2023,PN,12842,"Dixon, Riley",PN,DEN,1,2023-09-01,2023-09-07,2023-12-31,17,0001,Ulterior Warrior,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-12-31,0,tcv_div_cl,0,,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2023-08-01,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2023-08-01,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:32
2024,PN,12842,"Dixon, Riley",PN,DEN,1,2024-09-01,2024-09-05,2024-12-30,17,,,,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2024-12-30,0,,0,,2023,23,0008,Real Deal Creel,ROSTER,1000,1,WW,,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:35
2025,PN,12842,"Dixon, Riley",PN,DEN,1,2025-08-31,2025-09-04,2025-12-29,17,,,,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2025-12-29,0,,0,,2024,23,0006,The Long Haulers,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2025-02-24 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2025-02-24,The Long Haulers,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:10:38
2018,PN,12844,"Edwards, Lachlan",PN,NYJ,1,2018-09-01,2018-09-06,2018-12-24,16,0002,The Bash Bros,ROSTER,1000,1,Veteran,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,1,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2018-12-24,0,tcv_div_cl,0,,2017,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,fa_auction,2018-08-11,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2018-08-11,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:04
2019,PN,12844,"Edwards, Lachlan",PN,NYJ,1,2019-09-01,2019-09-05,2019-12-23,16,0009,C-Town Chivalry,ROSTER,1000,1,WW,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2019-08-22,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2019-08-22,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:08
2025,PN,16351,"Evans, Ethan",PN,LAR,1,2025-08-31,2025-09-04,2025-12-29,17,0008,Real Deal Creel,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2025-08-07,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2025-08-07,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:38
2021,PN,15032,"Fox, Jack",PN,DET,1,2021-09-01,2021-09-09,2022-01-03,17,0002,The Bash Bros,ROSTER,1000,1,Veteran,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2022-01-03,0,tcv_div_cl,0,,2020,22,0005,Run CMC,ROSTER,3000,1,WW,,1,3000,3000,{},0,0,tcv_div_cl,0,0,0,0,1,fa_auction,2021-08-02,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2021-08-02,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:21
2022,PN,14489,"Gillan, Jamie",PN,NYG,1,2022-09-01,2022-09-08,2023-01-02,17,0002,The Bash Bros,ROSTER,1000,1,WW,CL 1,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2022-08-03,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2022-08-03,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:27
2023,PN,14489,"Gillan, Jamie",PN,NYG,1,2023-09-01,2023-09-07,2023-12-31,17,0002,CBP,ROSTER,1000,1,Veteran,CL 1| TCV K| AAV K,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-12-31,0,tcv_div_cl,0,,2022,23,0009,C-Town Chivalry,ROSTER,1000,1,WW,CL 1,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,1,fa_auction,2023-08-02,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2023-08-02,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:32
2024,PN,14489,"Gillan, Jamie",PN,NYG,1,2024-09-01,2024-09-05,2024-12-30,17,0001,Ulterior Warrior,ROSTER,4000,1,WW,CL 1|,CL 1| TCV 4K| AAV 4K| Y1-4K,0,0,0,0,0,,1,0,0,4000,0,0,0,1,4000,4000,{},0,0,1,4000,0,4000,4000,4000,0,2024-12-30,0,tcv_div_cl,0,,2023,23,0002,CBP,ROSTER,1000,1,Veteran,CL 1| TCV K| AAV K,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,0,fa_auction,2024-07-28,AUCTION:FreeAgent,fa_auction | last_drop=2024-03-07 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2024-07-28,1,2024-03-07,CBP,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:10:35
2025,PN,14489,"Gillan, Jamie",PN,NYG,1,2025-08-31,2025-09-04,2025-12-29,17,0012,Hawks,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,0008,Real Deal Creel,ROSTER,4000,1,WW,CL 1|,1,4000,4000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2025-08-05,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2025-08-05,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:38
2022,PN,15499,"Gillikin, Blake",PN,NOS,1,2022-09-01,2022-09-08,2023-01-02,17,,,,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-01-02,0,,0,,2021,23,0003,Gride,ROSTER,1000,1,WW,CL 1|,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2022-08-05,AUCTION:FreeAgent,fa_auction | last_drop=2022-09-01 BBID_WAIVER,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2022-08-05,1,2022-09-01,#BLM,BBID,BBID_WAIVER,0,,,,,0,0,,,0,current,2026-04-21 22:10:27
2023,PN,15499,"Gillikin, Blake",PN,NOS,1,2023-09-01,2023-09-07,2023-12-31,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2023-12-31,0,,0,,2022,23,0006,Good in Da Hood,ROSTER,2000,1,WW,CL 1,1,2000,2000,{},0,0,tcv_div_cl,0,0,0,0,0,fa_auction,2023-08-01,AUCTION:FreeAgent,fa_auction | last_drop=2023-08-31 BBID_WAIVER,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2023-08-01,1,2023-08-31,Pure Greatness,BBID,BBID_WAIVER,0,,,,,0,0,,,0,current,2026-04-21 22:10:32
2017,PN,13430,"Haack, Matt",PN,MIA,1,2017-09-01,2017-09-07,2017-12-25,16,0005,C'mon Son,ROSTER,1000,1,STANDARD,,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,1,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:02
2018,PN,13430,"Haack, Matt",PN,MIA,1,2018-09-01,2018-09-06,2018-12-24,16,,,,0,0,,,,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2018-12-24,0,,0,,2017,16,0005,C'mon Son,ROSTER,1000,1,STANDARD,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-04-21 22:10:04
2019,PN,13430,"Haack, Matt",PN,MIA,1,2019-09-01,2019-09-05,2019-12-23,16,0002,The Bash Bros,ROSTER,1000,2,Veteran,TCV 2K,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K",0,0,0,0,0,,2,0,0,2000,0,0,0,2,2000,1000,{},0,0,1,1000,0,1000,1000,1000,1000,2019-12-23,0,tcv_div_cl,0,,2018,16,0002,The Bash Bros,ROSTER,1000,1,Veteran,,1,1000,1000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2019-08-20,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2019-08-20,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:08
2020,PN,13430,"Haack, Matt",PN,MIA,1,2020-09-01,2020-09-10,2020-12-28,16,0002,The Bash Bros,ROSTER,1000,1,Veteran,TCV 2K,CL 1| TCV 2K| AAV 2K| Y1-1K,0,0,0,0,0,,1,0,0,2000,0,0,0,1,2000,2000,{},0,0,1,1000,0,1000,1000,1000,1000,2020-12-28,0,tcv_div_cl,0,,2019,16,0002,The Bash Bros,ROSTER,1000,2,Veteran,TCV 2K,2,2000,1000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2020-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:14
2021,PN,13430,"Haack, Matt",PN,MIA,1,2021-09-01,2021-09-09,2022-01-03,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2022-01-03,0,,0,,2020,22,0002,The Bash Bros,ROSTER,1000,1,Veteran,TCV 2K,1,2000,2000,{},0,0,tcv_div_cl,0,1,0,1,0,missing_week1_snapshot,,,missing_week1_snapshot,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:21
2022,PN,15496,"Harvin, Pressley",PN,PIT,1,2022-09-01,2022-09-08,2023-01-02,17,0008,#BLM,ROSTER,1000,1,WW,CL 1,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2023-01-02,0,tcv_div_cl,0,,2021,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,fa_auction,2022-08-05,AUCTION:FreeAgent,fa_auction,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,2000,2022-08-05,0,,,,,0,,,,,0,0,,,0,current,2026-04-21 22:10:27
2024,PN,15496,"Harvin, Pressley",PN,PIT,1,2024-09-01,2024-09-05,2024-12-30,17,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2024-12-30,0,,0,,2023,23,0005,HammerTime 🔨 ⏰,ROSTER,1000,1,WW,,1,1000,1000,{},0,0,tcv_div_cl,0,0,0,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2024-03-06 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2024-03-06,HammerTime 🔨 ⏰,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-04-21 22:10:35
